,team_id,rating,wins,losses,last_match_time,name,tag,logo_url,WR
6656039,6656039.0,969.2869999999999,3.0,6.0,1552940688.0,ecks dee,хД,https://steamusercontent-a.akamaihd.net/ugc/959731118428016103/FB79E5F427CCFD1F6E1BDCACF20A3A6A009BD2C0/,0.3333333333333333
6927420,6927420.0,1016.0,1.0,0.0,1552996729.0,Vici Of Gaming,VOG,https://steamusercontent-a.akamaihd.net/ugc/996891527335305594/F6D91FEE13A4E980D9410E66226478D5E3EB66AF/,1.0
6903296,6903296.0,984.0,0.0,1.0,1552996729.0,Wolf's Den,,https://steamusercontent-a.akamaihd.net/ugc/996891527335452170/F5DB1346EF30BC7F216E31A6B7D972E5BF065065/,0.0
6849966,6849966.0,986.0980000000001,0.0,1.0,1553000934.0,Mavis Esport,Mavis,https://steamusercontent-a.akamaihd.net/ugc/1011526469354094085/513B3AD2C71065DCFE784851C6BE1720C02C8106/,0.0
6793537,6793537.0,1059.73,4.0,0.0,1553000934.0,SURA ESPORTS ,Sura,https://steamusercontent-a.akamaihd.net/ugc/961986241860756196/93498DBEE7F22378050E58A48FC06B2A8C6996AB/,1.0
3321841,3321841.0,968.7360000000001,0.0,2.0,1553082963.0,Peler Gaming,PELERDOTO,https://steamusercontent-a.akamaihd.net/ugc/918037462606625625/A7B3FA7209E81120F9C5928CA4877A3517C0E8A9/,0.0
6818681,6818681.0,984.7360000000001,0.0,1.0,1553090525.0,Identity Disorder,ID,https://steamusercontent-a.akamaihd.net/ugc/985632674107511262/C3CF80251D3D3F6D0D16ECECEACF1B5ED22393C7/,0.0
6594158,6594158.0,1012.72,1.0,0.0,1553169857.0,FOREVER,,https://steamusercontent-a.akamaihd.net/ugc/955225132299073876/62F25070F394E3D714C9539399DC42461A0183E4/,1.0
5128678,5128678.0,984.301,1.0,2.0,1553173141.0,,,https://steamusercontent-a.akamaihd.net/ugc/991261913639652956/99FC1B0FAC933CF5B393AC0879AFCB13C2102FE4/,0.3333333333333333
6325720,6325720.0,912.91,3.0,10.0,1553254168.0,Valkyrie Gaming,Vy,https://steamusercontent-a.akamaihd.net/ugc/943960900267273445/1BFA9F93091E99191C0F30B2E71DF3CFF7F980EC/,0.2307692307692308
6794157,6794157.0,983.3589999999999,0.0,1.0,1553255438.0,Spartan Gaming,SPG,https://steamusercontent-a.akamaihd.net/ugc/819002655238800455/009862295230DE062C719F60EB4382A82D0DDE19/,0.0
6929928,6929928.0,985.405,0.0,1.0,1553255739.0,dəˈzīər,dəˈzīər,,0.0
3810339,3810339.0,988.83,0.0,1.0,1553256066.0,Chartasist,Amz,https://steamusercontent-a.akamaihd.net/ugc/1009276572158330352/07B3941306326A99EB41B47410F909CF2EF0A796/,0.0
3719796,3719796.0,984.0,0.0,1.0,1553256580.0,Vermilion7,VEN7,https://steamusercontent-a.akamaihd.net/ugc/906770848478404153/CAC5575B25C3110E47BEC9DA3F58BB226EB94E49/,0.0
3321276,3321276.0,999.298,2.0,2.0,1553257040.0,Vermetion Gaming,VmN,https://steamusercontent-a.akamaihd.net/ugc/482274241064620015/D19D84EA69C1652B4EFF4D692F2D86D04AE8BD12/,0.5
6766245,6766245.0,982.076,2.0,3.0,1553257623.0,Champion Gaming Center,CGC,https://steamusercontent-a.akamaihd.net/ugc/959733232046411160/C1F5AB6B2A8EFD35011B062A3911EAB73A73FE79/,0.4
6501427,6501427.0,974.778,1.0,3.0,1553259987.0,Sheon ,,https://steamusercontent-a.akamaihd.net/ugc/996891527335486558/BF0D7BE1DE7CF997D5B847AF33799FE795E63C6C/,0.25
