,team_id,name,rating,wins,losses,last_match_time,tag,name2
1218336,1218336,Eternal,1094.91,47,22,1507285230,Eternal,_
4369633,4369633,Entity Gaming,1094.83,41,28,1529906231,_,_
1827850,1827850,Sua Empresa Aqui,1094.82,8,2,1440037676,SEA,_
4425650,4425650,_,1094.58,85,68,1530078692,_,_
2429870,2429870,TLC GAMING,1094.44,19,10,1467599841,TLC,_
2535378,2535378,Team FanTuan,1094.42,16,17,1452222560,FT,_
7640557,7640557,forZe eSports,1094.37,33,30,1584025400,forZe,_
6546834,6546834,ReRise,1094.14,14,8,1551641934,RR,_
1852655,1852655,FuKCing Noobs,1094.13,6,0,1416667040,F|N,_
7748744,7748744,CR4ZY,1094.11,7,9,1585851315,CR4ZY,_
6666979,6666979,LOUVRE ESPORTS,1094.08,8,3,1554636635,Louvre,_
862976,862976,Megalodon Gaming.,1093.96,21,13,1450397734,MeGa,_
2585648,2585648,---uioyuiruy,1093.69,8,2,1447032733,TLC,_
7731375,7731375,Neets Uprising,1093.48,11,1,1585644645,Neets,_
2860081,2860081,team_ftd_a,1093.46,77,82,1497077390,FTD.a,_
2154552,2154552,.Skynet.,1093.35,10,2,1439865875,Sky,_
6382750,6382750,ELFinger Esports,1093.23,8,2,1540733391,ELF,_
7358582,7358582,Team Space,1093.17,78,78,1585325701,_,_
1966890,1966890,London Conspiracy Dota2,1093.09,105,96,1461096008,LC,_
7136618,7136618,2Be.Dota2,1093.03,23,16,1569054826,2Be,_
2024718,2024718,#section80.,1092.77,6,1,1417715891,#80,_
2348036,2348036,Venko Fitore GG,1092.39,8,2,1557041590,vF,_
